game_identifier,match_id,scheduled,status,home_alias,away_alias,home_name,away_name,venue_name,venue_city,league,home_id,home_market,away_id,away_market,home_games_played,home_recent_points,home_recent_field_goals_pct,home_recent_three_points_pct,home_recent_free_throws_pct,home_recent_assists,home_recent_steals,home_recent_blocks,home_recent_offensive_rebounds,home_recent_defensive_rebounds,home_recent_wins,home_recent_losses,home_recent_win_pct,home_recent_ppg,home_recent_opp_ppg,home_recent_point_diff,home_recent_scoring_trend,away_games_played,away_recent_points,away_recent_field_goals_pct,away_recent_three_points_pct,away_recent_free_throws_pct,away_recent_assists,away_recent_steals,away_recent_blocks,away_recent_offensive_rebounds,away_recent_defensive_rebounds,away_recent_wins,away_recent_losses,away_recent_win_pct,away_recent_ppg,away_recent_opp_ppg,away_recent_point_diff,away_recent_scoring_trend,scoring_advantage_home,form_advantage_home,defensive_advantage_home,ball_control_advantage_home,home_winning_odds_decimal,away_winning_odds_decimal,home_spread,away_spread,home_spread_odds_decimal,away_spread_odds_decimal,total_line_o,total_line_over_odds_decimal,total_line_under_odds_decimal
2026-03-22_POR@DEN,c899d119-ec8a-4458-a498-c29f7f70d324,2026-03-22T21:00:00+00:00,scheduled,DEN,POR,Denver Nuggets,Portland Trail Blazers,Ball Arena,Denver,NBA,583ed102-fb46-11e1-82cb-f4ce4684ea4c,,583ed056-fb46-11e1-82cb-f4ce4684ea4c,,5,124.8,49.9,40.68,80.16,31.0,7.4,3.6,7.8,37.2,3,2,0.6,124.8,118.8,6.0,up,5,115.2,45.8,34.1,80.24,29.4,8.4,7.4,16.0,33.0,4,1,0.8,115.2,108.2,7.0,stable,9.6,-0.2,-10.6,1.6,1.28,3.85,-8.5,8.5,1.87,1.95,242.5,1.91,1.91
2026-03-22_BKN@SAC,ed0373b0-13de-4f7e-af13-4594697e139e,2026-03-22T22:00:00+00:00,scheduled,SAC,BKN,Sacramento Kings,Brooklyn Nets,Golden 1 Center,Sacramento,NBA,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,,5,113.0,50.66,36.68,70.74,27.8,6.2,4.2,9.8,33.2,2,3,0.4,113.0,121.6,-8.6,stable,5,94.6,39.56,32.78,81.24,20.6,8.4,5.6,10.4,30.8,0,5,0.0,94.6,108.0,-13.4,up,18.4,0.4,-13.6,7.2,1.51,2.64,-4.5,4.5,1.89,1.93,218.5,1.91,1.91
2026-03-22_WSH@NY,ca15ef07-5eba-4018-971d-256c9b2b9446,2026-03-22T23:30:00+00:00,scheduled,NY,WSH,New York Knicks,Washington Wizards,Madison Square Garden,New York,NBA,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,,5,114.8,47.08,34.78,83.2,28.0,9.2,4.2,14.8,33.8,5,0,1.0,114.8,103.6,11.2,up,5,108.0,46.74,40.08,73.06,24.0,6.8,4.8,8.0,27.6,0,5,0.0,108.0,123.0,-15.0,stable,6.8,1.0,19.4,4.0,1.04,13.0,-19.5,19.5,1.87,1.95,228.5,1.95,1.87
2026-03-23_MIN@BOS,938a267b-b5f5-4ced-94f1-78e0d7796954,2026-03-23T00:00:00+00:00,scheduled,BOS,MIN,Boston Celtics,Minnesota Timberwolves,TD Garden,Boston,NBA,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,,5,114.0,45.16,32.34,91.7,24.2,7.8,2.8,14.2,34.4,4,1,0.8,114.0,105.4,8.6,down,5,119.4,49.58,39.18,79.24,26.2,9.0,6.2,12.0,33.8,3,2,0.6,119.4,111.2,8.2,stable,-5.4,0.2,5.8,-2.0,1.25,4.1,-9.5,9.5,1.87,1.95,219.5,1.87,1.95
2026-03-23_TOR@PHX,7927e749-3ece-4f2d-81e9-166e538b7f61,2026-03-23T01:00:00+00:00,scheduled,PHX,TOR,Phoenix Suns,Toronto Raptors,Mortgage Matchup Center,Phoenix,NBA,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,,5,107.2,43.38,35.92,72.44,25.0,8.2,4.2,10.6,28.2,0,5,0.0,107.2,113.4,-6.2,up,5,121.2,50.34,37.4,78.9,27.0,8.4,4.0,11.8,31.8,3,2,0.6,121.2,115.0,6.2,down,-14.0,-0.6,1.6,-2.0,2.0,1.83,1.5,-1.5,1.91,1.91,220.5,1.91,1.91
2026-03-23_IND@ORL,6feaa83d-39b5-4998-899b-a1b757266c0f,2026-03-23T23:00:00+00:00,scheduled,ORL,IND,Orlando Magic,Indiana Pacers,Kia Center,Orlando,NBA,583ed157-fb46-11e1-82cb-f4ce4684ea4c,,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,,5,111.2,43.32,32.18,87.42,23.6,8.6,2.6,10.6,30.0,1,4,0.2,111.2,117.8,-6.6,up,5,112.6,49.06,42.22,79.36,31.2,6.4,5.0,7.8,29.6,0,5,0.0,112.6,126.4,-13.8,down,-1.4,0.2,8.6,-7.6,,,,,,,,,
2026-03-23_SA@MIA,51079268-e527-44d5-91f3-275dab045b21,2026-03-23T23:00:00+00:00,scheduled,MIA,SA,Miami Heat,San Antonio Spurs,Kaseya Center,Miami,NBA,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,,5,116.6,46.1,31.14,79.96,27.8,6.2,2.6,11.4,30.6,1,4,0.2,116.6,123.8,-7.2,down,5,120.2,48.26,35.94,85.82,30.2,5.6,5.8,12.8,36.6,5,0,1.0,120.2,108.0,12.2,down,-3.6,-0.8,-15.8,-2.4,,,,,,,,,
2026-03-23_LAL@DET,3dd482f4-6139-4d6c-8fe8-fe07cd7bfe6c,2026-03-23T23:00:00+00:00,scheduled,DET,LAL,Detroit Pistons,Los Angeles Lakers,Little Caesars Arena,Detroit,NBA,583ec928-fb46-11e1-82cb-f4ce4684ea4c,,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,,5,119.2,50.26,33.46,74.96,30.2,10.6,5.4,14.8,31.6,4,1,0.8,119.2,108.4,10.8,up,5,118.0,50.8,34.5,70.26,24.0,9.8,5.0,10.2,30.2,5,0,1.0,118.0,112.6,5.4,stable,1.2,-0.2,4.2,6.2,,,,,,,,,
2026-03-23_OKC@PHI,14a9a4b2-40b3-47a3-b278-fc858db1cf2f,2026-03-23T23:00:00+00:00,scheduled,PHI,OKC,Philadelphia 76ers,Oklahoma City Thunder,Xfinity Mobile Arena,Philadelphia,NBA,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,,5,114.8,46.22,26.28,86.28,25.6,8.6,7.8,12.8,36.2,4,1,0.8,114.8,111.6,3.2,down,5,117.2,48.06,34.04,80.44,25.2,10.6,4.8,12.6,34.6,5,0,1.0,117.2,103.2,14.0,down,-2.4,-0.2,-8.4,0.4,,,,,,,,,
2026-03-23_MEM@ATL,0360d8e2-102d-43e6-9b9d-6a4ba4162c2b,2026-03-23T23:30:00+00:00,scheduled,ATL,MEM,Atlanta Hawks,Memphis Grizzlies,State Farm Arena,Atlanta,NBA,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,,583eca88-fb46-11e1-82cb-f4ce4684ea4c,,5,120.4,49.18,35.0,79.94,29.6,9.6,4.0,12.0,32.2,4,1,0.8,120.4,111.6,8.8,up,5,111.0,43.66,34.52,79.5,23.2,10.0,4.0,10.2,27.2,1,4,0.2,111.0,123.4,-12.4,up,9.4,0.6,11.8,6.4,,,,,,,,,
2026-03-24_HOU@CHI,c396d089-d832-4e19-a3f8-de4079484809,2026-03-24T00:00:00+00:00,scheduled,CHI,HOU,Chicago Bulls,Houston Rockets,United Center,Chicago,NBA,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,,5,117.8,48.26,34.32,79.08,27.6,9.0,5.0,11.6,32.2,1,4,0.2,117.8,124.4,-6.6,up,5,111.0,48.62,36.02,77.38,27.6,8.6,4.0,14.0,31.8,3,2,0.6,111.0,109.2,1.8,down,6.8,-0.4,-15.2,0.0,,,,,,,,,
2026-03-24_TOR@UTAH,c48dc12e-50da-4645-a101-cca984c25ae0,2026-03-24T01:00:00+00:00,scheduled,UTAH,TOR,Utah Jazz,Toronto Raptors,Delta Center,Salt Lake City,NBA,583ece50-fb46-11e1-82cb-f4ce4684ea4c,,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,,5,116.0,46.18,33.98,75.6,27.8,11.2,4.6,12.0,29.6,1,4,0.2,116.0,121.8,-5.8,down,5,121.2,50.34,37.4,78.9,27.0,8.4,4.0,11.8,31.8,3,2,0.6,121.2,115.0,6.2,down,-5.2,-0.4,-6.8,0.8,,,,,,,,,
2026-03-24_GS@DAL,2d7f5b1e-7902-4986-8f1d-fec8b3b94c6c,2026-03-24T01:30:00+00:00,scheduled,DAL,GS,Dallas Mavericks,Golden State Warriors,American Airlines Center,Dallas,NBA,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,,583ec825-fb46-11e1-82cb-f4ce4684ea4c,,5,119.4,46.96,38.14,78.98,28.0,8.0,4.6,12.4,32.6,1,4,0.2,119.4,132.0,-12.6,down,5,108.4,47.08,32.06,78.56,26.2,9.8,4.2,11.4,25.0,1,4,0.2,108.4,117.6,-9.2,up,11.0,0.0,-14.4,1.8,,,,,,,,,
2026-03-24_BKN@POR,ea923ca1-e7cd-43a2-933c-55ab6e4dd84f,2026-03-24T02:00:00+00:00,scheduled,POR,BKN,Portland Trail Blazers,Brooklyn Nets,Moda Center,Portland,NBA,583ed056-fb46-11e1-82cb-f4ce4684ea4c,,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,,5,115.2,45.8,34.1,80.24,29.4,8.4,7.4,16.0,33.0,4,1,0.8,115.2,108.2,7.0,stable,5,94.6,39.56,32.78,81.24,20.6,8.4,5.6,10.4,30.8,0,5,0.0,94.6,108.0,-13.4,up,20.6,0.8,-0.2,8.8,,,,,,,,,
